time_stamp,city,station,carrier,ml_ex_ind,sched_flt_now,cnxl_flt_now,a0_flt_now,a14_flt_now,d0_flt_now_o,d0_flt_now,sched_flt_mtd,cnxl_flt_mtd,a0_flt_mtd,a14_flt_mtd,d0_flt_mtd_o,d0_flt_mtd,sched_flt_ytd,comp_flt_ytd,a0_flt_ytd,a14_flt_ytd,d0_flt_ytd_o,d0_flt_ytd,in_sched_flt_now,in_sched_flt_mtd,in_sched_flt_ytd
2025-10-30 12:56:23.523047+00:00,Line Dom,DSM,UA,Express,5,0,3,5,5,5,142,0,120,134,129,129,1594,1572,1132,1327,1302,1302,5,142,1593
2025-10-30 12:56:23.523047+00:00,Line Dom,BFL,UA,Express,4,0,3,4,3,3,116,0,48,92,92,93,1183,1183,648,902,951,953,4,116,1183
2025-10-30 12:56:23.523047+00:00,Line Dom,CRP,UA,Express,7,0,5,6,7,7,198,0,137,166,171,171,2050,2011,1367,1615,1556,1556,7,198,2051
2025-10-30 12:56:23.523047+00:00,Line Dom,DCA,UA,Express,14,0,5,5,8,8,289,0,144,188,169,169,2889,2703,1537,1878,1740,1742,14,290,2890
2025-10-30 12:56:23.523047+00:00,Line Dom,PIT,UA,Express,12,0,6,11,9,9,378,0,268,320,312,312,3905,3822,2621,3104,3143,3146,12,378,3898
2025-10-30 12:56:23.523047+00:00,Line Dom,MKE,UA,Express,14,0,12,14,10,10,423,0,262,333,302,302,3928,3857,2297,2868,2634,2634,14,421,3928
2025-10-30 12:56:23.523047+00:00,Line Dom,MSP,UA,Express,4,0,4,4,4,4,124,0,100,112,106,106,1690,1670,1197,1411,1308,1308,4,124,1692
2025-10-30 12:56:23.523047+00:00,Line Dom,SBN,UA,Express,9,0,6,8,7,7,249,0,141,193,183,183,2179,2150,1142,1504,1489,1489,9,249,2179
2025-10-30 12:56:23.523047+00:00,Line Dom,ONT,UA,Express,0,0,0,0,0,0,3,0,3,3,2,2,317,310,220,266,244,244,0,3,316
2025-10-30 12:56:23.523047+00:00,Line Dom,BUF,UA,Express,9,0,7,8,7,7,203,0,132,162,142,142,2090,2033,1269,1563,1392,1392,9,204,2092
2025-10-30 12:56:23.523047+00:00,Line Int,NAS,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10,15,17,17,0,0,20
2025-10-30 12:56:23.523047+00:00,Line Dom,DLH,UA,Express,3,0,2,2,3,3,109,0,62,79,84,84,941,929,508,646,621,621,3,108,941
2025-10-30 12:56:23.523047+00:00,Line Dom,BNA,UA,Express,10,0,5,8,7,7,276,0,139,201,177,177,1927,1896,1158,1451,1328,1329,10,275,1926
2025-10-30 12:56:23.523047+00:00,Line Dom,WYS,UA,Express,0,0,0,0,0,0,15,0,10,10,10,10,188,186,123,146,117,117,0,15,188
2025-10-30 12:56:23.523047+00:00,Line Dom,RDD,UA,Express,5,0,4,5,5,5,34,0,18,25,28,28,1178,1172,779,976,926,926,5,35,1178
2025-10-30 12:56:23.523047+00:00,Line Dom,LAF,UA,Express,1,0,1,1,1,1,45,0,19,26,28,28,134,134,69,90,98,98,1,45,135
2025-10-30 12:56:23.523047+00:00,Line Dom,EUG,UA,Express,1,0,0,0,1,1,25,0,18,24,19,19,385,380,289,339,254,254,0,25,384
2025-10-30 12:56:23.523047+00:00,Line Dom,DAY,UA,Express,6,0,4,5,5,5,201,0,128,160,155,155,2352,2317,1485,1786,1772,1772,6,201,2350
2025-10-30 12:56:23.523047+00:00,Line Dom,HOB,UA,Express,2,0,2,2,2,2,58,0,41,49,49,49,604,592,308,365,410,410,2,58,604
2025-10-30 12:56:23.523047+00:00,Line Dom,LCH,UA,Express,3,0,1,3,2,2,82,0,62,74,72,72,746,729,516,590,568,568,3,82,746
2025-10-30 12:56:23.523047+00:00,Line Dom,SAV,UA,Express,6,0,4,4,5,5,194,0,135,168,168,168,2257,2209,1513,1762,1752,1752,5,193,2256
2025-10-30 12:56:23.523047+00:00,Line Dom,MCW,UA,Express,2,0,2,2,2,2,50,0,30,37,33,33,518,504,322,383,376,376,2,50,518
2025-10-30 12:56:23.523047+00:00,Line Dom,MEM,UA,Express,9,0,6,7,6,6,251,0,154,209,176,176,2131,2089,1385,1642,1406,1406,9,251,2133
2025-10-30 12:56:23.523047+00:00,Line Dom,BWI,UA,Express,1,0,1,1,1,1,20,0,15,18,16,16,233,232,155,187,168,168,1,20,233
2025-10-30 12:56:23.523047+00:00,Line Int,AGU,UA,Express,2,0,2,2,2,2,58,0,43,50,54,54,604,599,398,478,509,509,2,58,604
2025-10-30 12:56:23.523047+00:00,Line Dom,MSY,UA,Express,0,0,0,0,0,0,29,0,13,22,23,23,310,307,203,248,247,247,0,29,310
2025-10-30 12:56:23.523047+00:00,Line Dom,RAP,UA,Express,6,0,4,5,6,6,167,0,128,151,137,137,2096,2056,1220,1515,1426,1426,6,167,2094
2025-10-30 12:56:23.523047+00:00,Line Dom,MRY,UA,Express,7,0,7,7,7,7,196,0,129,168,175,175,1892,1887,1290,1576,1607,1607,7,196,1892
2025-10-30 12:56:23.523047+00:00,Line Dom,BGR,UA,Express,2,0,2,2,2,2,148,0,79,101,113,113,868,843,519,639,635,635,2,147,865
2025-10-30 12:56:23.523047+00:00,Line Dom,SBP,UA,Express,6,0,5,5,4,4,196,0,99,143,131,131,1825,1817,1207,1473,1336,1337,6,197,1826
2025-10-30 12:56:23.523047+00:00,Line Dom,CIU,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,137,135,80,97,84,84,0,0,137
2025-10-30 12:56:23.523047+00:00,Line Dom,GSP,UA,Express,9,0,1,6,7,7,297,0,176,231,243,243,2805,2755,1685,2078,2077,2077,9,297,2812
2025-10-30 12:56:23.523047+00:00,Line Dom,EAR,UA,Express,1,0,1,1,1,1,49,0,41,43,39,39,517,512,326,392,394,394,1,49,517
2025-10-30 12:56:23.523047+00:00,Line Dom,ITH,UA,Express,2,0,2,2,1,1,83,0,56,66,71,71,623,605,339,420,472,472,2,83,623
2025-10-30 12:56:23.523047+00:00,Line Dom,OMA,UA,Express,3,0,1,2,2,2,82,0,64,72,72,72,1005,994,661,810,780,781,3,83,1006
2025-10-30 12:56:23.523047+00:00,Line Dom,CHS,UA,Express,3,0,2,3,3,3,141,0,102,121,110,110,1742,1677,1138,1368,1270,1270,3,141,1740
2025-10-30 12:56:23.523047+00:00,Line Int,PXM,UA,Express,0,0,0,0,0,0,5,0,3,4,3,3,31,31,18,25,14,14,0,5,31
2025-10-30 12:56:23.523047+00:00,Line Dom,SDF,UA,Express,13,0,7,12,13,13,402,0,255,325,310,310,3847,3771,2529,3030,2866,2868,13,402,3849
2025-10-30 12:56:23.523047+00:00,Line Dom,MEI,UA,Express,2,0,1,2,2,2,50,0,40,46,49,49,518,509,324,379,396,396,2,50,518
2025-10-30 12:56:23.523047+00:00,Line Dom,RKS,UA,Express,2,0,2,2,2,2,58,0,42,50,43,43,604,600,351,430,444,444,2,58,604
2025-10-30 12:56:23.523047+00:00,Line Dom,RIW,UA,Express,2,0,2,2,0,0,58,0,45,52,40,40,604,599,386,471,472,472,2,58,604
2025-10-30 12:56:23.523047+00:00,Line Dom,JAX,UA,Express,2,0,1,2,2,2,102,0,72,83,85,85,1378,1350,920,1083,1005,1006,2,101,1378
2025-10-30 12:56:23.523047+00:00,Line Dom,ATW,UA,Express,7,0,7,7,6,6,203,0,121,161,158,158,1964,1937,1117,1404,1382,1382,7,203,1964
2025-10-30 12:56:23.523047+00:00,Line Dom,ILM,UA,Express,2,0,0,2,2,2,58,0,23,37,43,43,642,605,334,428,422,422,2,58,641
2025-10-30 12:56:23.523047+00:00,Line Dom,LWS,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16,21,28,28,0,0,31
2025-10-30 12:56:23.523047+00:00,Line Dom,DIK,UA,Express,2,0,2,2,2,2,58,0,44,51,47,47,565,554,311,381,416,416,2,58,565
2025-10-30 12:56:23.523047+00:00,Line Int,YQR,UA,Express,1,0,0,0,1,1,29,0,23,25,24,24,167,166,78,92,118,118,1,29,168
2025-10-30 12:56:23.523047+00:00,Line Dom,SUN,UA,Express,1,0,1,1,1,1,76,0,54,62,69,69,1173,1163,801,961,903,903,1,75,1172
2025-10-30 12:56:23.523047+00:00,Line Dom,FAT,UA,Express,9,0,7,8,8,8,279,0,208,251,235,235,2604,2600,1812,2210,2042,2043,9,279,2605
2025-10-30 12:56:23.523047+00:00,Line Dom,PDX,UA,Express,0,0,0,0,0,0,27,0,12,22,16,16,374,373,261,317,294,294,0,27,374
2025-10-30 12:56:23.523047+00:00,Line Dom,TVC,UA,Express,6,0,1,5,5,5,149,0,118,137,122,122,1231,1210,768,929,802,802,6,149,1231
2025-10-30 12:56:23.523047+00:00,Line Dom,TYS,UA,Express,14,0,6,11,14,14,349,0,242,292,289,289,3564,3505,2253,2735,2806,2806,14,352,3565
2025-10-30 12:56:23.523047+00:00,Line Int,MLM,UA,Express,1,0,1,1,1,1,29,0,16,22,26,26,307,303,158,217,261,261,1,29,307
2025-10-30 12:56:23.523047+00:00,Line Dom,MOT,UA,Express,3,0,3,3,3,3,83,0,69,76,75,75,1020,1009,621,759,708,709,3,83,1020
2025-10-30 12:56:23.523047+00:00,Line Dom,LFT,UA,Express,7,0,7,7,7,7,176,0,136,155,150,150,1650,1613,1126,1313,1264,1264,7,176,1651
2025-10-30 12:56:23.523047+00:00,Line Dom,LNK,UA,Express,9,0,5,8,7,7,253,0,148,187,190,190,2486,2457,1413,1760,1700,1700,9,253,2487
2025-10-30 12:56:23.523047+00:00,Line Dom,STL,UA,Express,14,0,13,13,9,9,354,0,239,288,246,246,3894,3823,2527,2953,2734,2735,13,352,3897
2025-10-30 12:56:23.523047+00:00,Line Dom,BTV,UA,Express,6,0,5,5,5,5,235,0,150,186,164,164,1909,1855,1239,1494,1342,1342,6,233,1913
2025-10-30 12:56:23.523047+00:00,Line Int,YUL,UA,Express,6,0,5,5,4,4,199,0,132,168,163,163,1991,1946,1269,1564,1582,1582,6,199,1992
2025-10-30 12:56:23.523047+00:00,Line Dom,JAC,UA,Express,2,0,2,2,2,2,60,0,49,56,46,46,539,537,384,456,392,392,2,60,540
2025-10-30 12:56:23.523047+00:00,Line Dom,AVP,UA,Express,5,0,4,5,5,5,120,0,80,99,100,100,1307,1294,785,976,991,991,5,119,1307
2025-10-30 12:56:23.523047+00:00,Line Dom,MFE,UA,Express,6,0,4,6,6,6,166,0,137,154,155,155,1608,1579,1130,1305,1300,1300,6,166,1608
2025-10-30 12:56:23.523047+00:00,Line Dom,BIH,UA,Express,0,0,0,0,0,0,4,0,0,0,0,0,258,257,152,196,180,180,0,4,258
2025-10-30 12:56:23.523047+00:00,Line Dom,ABE,UA,Express,3,0,2,2,3,3,87,0,53,65,69,69,676,671,444,516,480,480,3,87,676
2025-10-30 12:56:23.523047+00:00,Line Dom,PVD,UA,Express,4,0,3,3,3,3,111,0,78,95,94,94,1469,1444,870,1113,1092,1092,4,111,1468
2025-10-30 12:56:23.523047+00:00,Line Dom,GRB,UA,Express,6,0,6,6,6,6,199,0,124,157,150,150,1660,1648,960,1197,1181,1181,6,199,1660
2025-10-30 12:56:23.523047+00:00,Line Dom,IND,UA,Express,17,0,14,15,15,15,431,0,287,364,354,354,5057,4948,3425,4071,3961,3961,17,431,5054
2025-10-30 12:56:23.523047+00:00,Line Dom,GCC,UA,Express,2,0,2,2,2,2,58,0,42,52,47,47,604,591,375,460,437,437,2,58,604
2025-10-30 12:56:23.523047+00:00,Line Dom,SHV,UA,Express,5,0,1,3,3,3,147,0,98,116,107,107,1704,1672,1091,1266,1203,1203,5,147,1704
2025-10-30 12:56:23.523047+00:00,Line Int,ZLO,UA,Express,0,0,0,0,0,0,4,0,4,4,4,4,26,26,21,23,25,25,0,4,26
2025-10-30 12:56:23.523047+00:00,Line Dom,PIB,UA,Express,2,0,2,2,2,2,50,0,41,41,43,43,518,506,337,371,378,378,2,50,518
2025-10-30 12:56:23.523047+00:00,Line Dom,DTW,UA,Express,12,0,9,10,11,11,403,0,296,339,331,331,3648,3561,2409,2870,2721,2721,13,404,3649
2025-10-30 12:56:23.523047+00:00,Line Dom,COU,UA,Express,3,0,2,2,3,3,87,0,58,71,68,68,103,103,73,87,77,77,3,87,105
2025-10-30 12:56:23.523047+00:00,Line Dom,CLE,UA,Express,6,0,5,6,4,4,89,0,59,77,63,64,1699,1647,1161,1399,1217,1218,6,91,1704
2025-10-30 12:56:23.523047+00:00,Line Dom,CRW,UA,Express,2,0,1,1,1,1,83,0,52,65,54,54,839,826,455,589,525,525,2,82,838
2025-10-30 12:56:23.523047+00:00,Line Int,BJX,UA,Express,2,0,1,2,2,2,66,0,41,56,63,63,436,432,231,329,387,387,2,66,437
2025-10-30 12:56:23.523047+00:00,Line Dom,AUS,UA,Express,2,0,2,2,2,2,18,0,15,18,17,17,878,869,606,743,624,624,2,18,876
2025-10-30 12:56:23.523047+00:00,Line Int,YHZ,UA,Express,2,0,1,2,2,2,62,0,33,44,45,45,450,432,294,344,308,308,2,62,451
2025-10-30 12:56:23.523047+00:00,Line Dom,BDL,UA,Express,3,0,2,3,3,3,38,0,31,34,28,28,861,845,599,702,634,635,3,38,861
2025-10-30 12:56:23.523047+00:00,Line Dom,ACV,UA,Express,6,0,5,5,5,5,173,0,117,145,146,146,1616,1609,1028,1322,1266,1266,6,174,1618
2025-10-30 12:56:23.523047+00:00,Line Dom,SBA,UA,Express,3,0,3,3,2,2,76,0,59,69,64,64,1138,1129,821,974,930,930,3,77,1138
2025-10-30 12:56:23.523047+00:00,Line Dom,SYR,UA,Express,6,0,4,5,4,4,212,0,144,176,173,173,2128,2072,1345,1626,1547,1547,6,211,2122
2025-10-30 12:56:23.523047+00:00,Line Int,ACA,UA,Express,1,0,0,0,1,1,5,0,2,4,5,5,44,44,28,41,40,40,1,5,44
2025-10-30 12:56:23.523047+00:00,Line Dom,PNS,UA,Express,4,0,3,3,4,4,92,0,60,76,77,77,1010,988,681,786,770,771,4,93,1011
2025-10-30 12:56:23.523047+00:00,Line Dom,AMA,UA,Express,5,0,5,5,5,5,134,0,105,117,110,110,1436,1410,905,1060,1024,1024,6,135,1438
2025-10-30 12:56:23.523047+00:00,Line Int,GDL,UA,Express,1,0,0,1,1,1,55,0,42,49,53,53,318,313,202,263,262,262,1,54,318
2025-10-30 12:56:23.523047+00:00,Line Dom,MSN,UA,Express,6,0,5,6,6,6,129,0,75,100,94,94,1914,1898,1247,1478,1398,1398,6,129,1909
2025-10-30 12:56:23.523047+00:00,Line Dom,CMX,UA,Express,2,0,2,2,1,1,58,0,43,50,49,49,671,648,365,445,472,472,2,58,671
2025-10-30 12:56:23.523047+00:00,Line Dom,GRR,UA,Express,8,0,6,8,6,6,190,0,131,159,133,133,2256,2208,1539,1806,1671,1671,8,191,2261
2025-10-30 12:56:23.523047+00:00,Line Dom,CLT,UA,Express,9,0,4,8,8,8,223,0,164,188,169,169,1817,1778,1276,1499,1356,1356,9,224,1818
2025-10-30 12:56:23.523047+00:00,Line Dom,JMS,UA,Express,2,0,2,2,2,2,50,0,41,44,42,42,543,536,375,443,401,407,2,50,543
2025-10-30 12:56:23.523047+00:00,Line Dom,MDT,UA,Express,6,0,3,5,4,4,148,0,102,125,120,120,1541,1517,894,1170,1110,1110,6,148,1542
2025-10-30 12:56:23.523047+00:00,Line Dom,RHI,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,201,194,107,140,132,132,0,0,201
2025-10-30 12:56:23.523047+00:00,Line Dom,HHH,UA,Express,0,0,0,0,0,0,25,0,12,13,13,13,234,223,158,188,149,149,0,25,234
2025-10-30 12:56:23.523047+00:00,Line Int,YYZ,UA,Express,13,0,12,13,13,13,385,0,247,313,301,301,4075,3944,2651,3198,3152,3152,13,387,4072
2025-10-30 12:56:23.523047+00:00,Line Dom,FCA,UA,Express,0,0,0,0,0,0,75,0,49,66,58,58,796,793,527,665,599,600,0,75,796
2025-10-30 12:56:23.523047+00:00,Line Dom,DRO,UA,Express,4,0,4,4,4,4,115,0,91,102,94,94,1268,1255,820,969,811,811,4,115,1268
2025-10-30 12:56:23.523047+00:00,Line Dom,SAN,UA,Express,3,0,2,2,1,1,79,0,61,70,67,67,967,967,729,860,827,830,3,79,967
2025-10-30 12:56:23.523047+00:00,Line Dom,COS,UA,Express,13,0,10,12,12,12,362,0,233,293,267,267,3773,3730,2162,2673,2648,2648,13,363,3773
2025-10-30 12:56:23.523047+00:00,Line Dom,TUS,UA,Express,9,0,9,10,9,9,87,0,75,85,80,80,1929,1919,1327,1599,1470,1470,10,91,1932
2025-10-30 12:56:23.523047+00:00,Line Dom,PRC,UA,Express,3,0,3,3,3,3,62,0,46,54,53,53,608,601,371,436,413,413,3,62,608
2025-10-30 12:56:23.523047+00:00,Line Dom,SNA,UA,Express,4,0,3,4,4,4,109,0,77,96,72,72,917,914,669,793,686,687,4,109,917
2025-10-30 12:56:23.523047+00:00,Line Dom,RDU,UA,Express,1,0,1,1,1,1,76,0,65,71,66,66,1309,1269,883,1039,966,967,1,76,1309
2025-10-30 12:56:23.523047+00:00,Line Dom,ECP,UA,Express,3,0,3,3,3,3,132,0,91,113,110,110,1351,1325,858,1024,963,963,3,132,1351
2025-10-30 12:56:23.523047+00:00,Line Dom,CMH,UA,Express,15,0,12,14,12,12,400,0,277,344,308,309,3981,3896,2587,3127,2824,2826,15,401,3990
2025-10-30 12:56:23.523047+00:00,Line Dom,ABQ,UA,Express,6,0,4,7,6,6,201,0,139,178,168,168,2176,2156,1368,1712,1590,1590,7,201,2178
2025-10-30 12:56:23.523047+00:00,Line Dom,SLC,UA,Express,10,0,7,9,8,8,257,0,198,225,198,198,2870,2862,1913,2301,2172,2173,10,256,2867
2025-10-30 12:56:23.523047+00:00,Line Dom,DVL,UA,Express,2,0,2,2,2,2,50,0,38,45,38,38,543,537,386,450,365,365,2,50,544
2025-10-30 12:56:23.523047+00:00,Line Dom,PLN,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,253,251,137,182,159,159,0,0,253
2025-10-30 12:56:23.523047+00:00,Line Dom,RDM,UA,Express,2,0,2,2,2,2,58,0,44,54,53,53,704,699,479,594,583,583,2,58,702
2025-10-30 12:56:23.523047+00:00,Line Dom,SEA,UA,Express,1,0,1,1,1,1,23,0,17,21,22,22,183,183,124,153,127,127,1,24,183
2025-10-30 12:56:23.523047+00:00,Line Dom,HYS,UA,Express,2,0,2,2,2,2,50,0,42,44,43,43,518,501,315,374,377,377,2,50,518
